Country,Month,Year,positive_change,negative_change
Canada,January,2000,0.00452111644578,0.0393121418977
Canada,February,2000,0.00178683051983,0.0215519232803
Canada,March,2000,0.00264967227136,0.0207436164278
Canada,April,2000,0.00556801479569,0.0143203018304
Canada,May,2000,0.0133518716732,0.00517826113144
Canada,June,2000,0.0115017406236,0.00560653389775
Canada,July,2000,0.0183051848074,0.00526311937191
Canada,August,2000,0.00925195293548,0.00667770825074
Canada,September,2000,0.0182443295215,0.00237583455718
Canada,October,2000,0.00976903036896,0.00640623173532
Canada,November,2000,0.00427973196266,0.0145606186335
Canada,December,2000,0.00610729209188,0.0111887802367
Canada,January,2001,0.00317213655642,0.0228330351878
Canada,February,2001,0.00562828993543,0.0141252615708
Canada,March,2001,0.00431513765248,0.0106892217308
Canada,April,2001,0.00860724725273,0.0090881430016
Canada,May,2001,0.0134908027475,0.00457051084317
Canada,June,2001,0.0061472331156,0.00817662675719
Canada,July,2001,0.0156370406313,0.00757142881412
Canada,August,2001,0.011011902053,0.00644633906931
Canada,September,2001,0.00548208232,0.0100613466963
Canada,October,2001,0.00776068343771,0.0104665203627
Canada,November,2001,0.00632351529886,0.0114897362117
Canada,December,2001,0.00477831318311,0.0175589970458
Canada,January,2002,0.00220001795136,0.0258154400535
Canada,February,2002,0.0016431839374,0.019909308231
Canada,March,2002,0.00301106703987,0.0150446251624
Canada,April,2002,0.00466346398919,0.00551305212959
Canada,May,2002,0.00788274551456,0.00310354441959
Canada,June,2002,0.0188297666245,0.00261273331733
Canada,July,2002,0.0121333812244,0.0057339235554
Canada,August,2002,0.00341700784702,0.0104032268511
Canada,September,2002,0.0104316988111,0.00747728962191
Canada,October,2002,0.0083780773416,0.00970858552896
Canada,November,2002,0.0111549717161,0.00647949762932
Canada,December,2002,0.00908732644246,0.00667867119101
Canada,January,2003,0.00858644233983,0.00543645975199
Canada,February,2003,0.0104256163538,0.00814320516585
Canada,March,2003,0.00621562157375,0.00671455912858
Canada,April,2003,0.0128153059641,0.00653137771588
Canada,May,2003,0.0124202387576,0.0102652083482
Canada,June,2003,0.00533489918044,0.0131477283136
Canada,July,2003,0.00600730022171,0.0128005894502
Canada,August,2003,0.0062954294881,0.011647712427
Canada,September,2003,0.00855186589784,0.00765877151574
Canada,October,2003,0.00711501531386,0.00629713698535
Canada,November,2003,0.0108162683933,0.00497249395701
Canada,December,2003,0.0034560117337,0.00829378372932
Canada,January,2004,0.00824560677674,0.00286446987379
Canada,February,2004,0.00678753567115,0.00551624904741
